workload,policy,hit_rate,hit_rate_percent,nvm_writes,weighted_access_cost,migrations,avg_decision_time_ms,decision_count,total_accesses,misses,nvm_reads,train_trace,valid_trace,test_trace,jsonl,candidate_count,rank_guard,checkpoint
parsec_blackscholes,lru,0.98886,98.886,144,112958.0,1098,0.0003366635684840015,1098,100000,1114,970,dataset/processed/real_workload_suite/1m/parsec_blackscholes_train.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_valid.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_test.csv,,8,0,
parsec_blackscholes,random,0.98655,98.655,145,115505.0,1329,0.001258560876096434,1329,100000,1345,1200,dataset/processed/real_workload_suite/1m/parsec_blackscholes_train.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_valid.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_test.csv,,8,0,
parsec_blackscholes,lfu,0.99474,99.47399999999999,221,106952.0,510,0.006482812265555064,510,100000,526,305,dataset/processed/real_workload_suite/1m/parsec_blackscholes_train.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_valid.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_test.csv,,8,0,
parsec_blackscholes,clock,0.99095,99.095,107,110437.0,889,0.0021657539810252,889,100000,905,798,dataset/processed/real_workload_suite/1m/parsec_blackscholes_train.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_valid.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_test.csv,,8,0,
parsec_blackscholes,qmap,0.99089,99.089,116,110557.0,895,3.0134497330050563,895,100000,911,795,dataset/processed/real_workload_suite/1m/parsec_blackscholes_train.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_valid.csv,dataset/processed/real_workload_suite/1m/parsec_blackscholes_test.csv,dataset/jsonl/real_workload_suite/1m/parsec_blackscholes_train.jsonl,8,2,/home/likc/Q-former-for-OS/outputs/checkpoints/real_workload_suite/1m/parsec_blackscholes/qmap_epoch_10.pth
parsec_canneal,lru,0.97634,97.634,52,126178.0,2350,0.0003071942743151746,2350,100000,2366,2314,dataset/processed/real_workload_suite/1m/parsec_canneal_train.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_valid.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_test.csv,,8,0,
parsec_canneal,random,0.96503,96.503,193,139465.0,3481,0.001250985938669347,3481,100000,3497,3304,dataset/processed/real_workload_suite/1m/parsec_canneal_train.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_valid.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_test.csv,,8,0,
parsec_canneal,lfu,0.94691,94.691,280,159919.0,5293,0.006065234836087478,5293,100000,5309,5029,dataset/processed/real_workload_suite/1m/parsec_canneal_train.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_valid.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_test.csv,,8,0,
parsec_canneal,clock,0.97625,97.625,60,126325.0,2359,0.0018171469423163488,2359,100000,2375,2315,dataset/processed/real_workload_suite/1m/parsec_canneal_train.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_valid.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_test.csv,,8,0,
parsec_canneal,qmap,0.97353,97.353,52,129269.0,2631,2.60633888905029,2631,100000,2647,2595,dataset/processed/real_workload_suite/1m/parsec_canneal_train.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_valid.csv,dataset/processed/real_workload_suite/1m/parsec_canneal_test.csv,dataset/jsonl/real_workload_suite/1m/parsec_canneal_train.jsonl,8,2,/home/likc/Q-former-for-OS/outputs/checkpoints/real_workload_suite/1m/parsec_canneal/qmap_epoch_10.pth
parsec_streamcluster,lru,0.99991,99.991,4,100033.0,0,0.0,0,100000,9,5,dataset/processed/real_workload_suite/1m/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite/1m/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite/1m/parsec_streamcluster_test.csv,,8,0,
parsec_streamcluster,random,0.99991,99.991,4,100033.0,0,0.0,0,100000,9,5,dataset/processed/real_workload_suite/1m/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite/1m/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite/1m/parsec_streamcluster_test.csv,,8,0,
parsec_streamcluster,lfu,0.99991,99.991,4,100033.0,0,0.0,0,100000,9,5,dataset/processed/real_workload_suite/1m/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite/1m/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite/1m/parsec_streamcluster_test.csv,,8,0,
parsec_streamcluster,clock,0.99991,99.991,4,100033.0,0,0.0,0,100000,9,5,dataset/processed/real_workload_suite/1m/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite/1m/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite/1m/parsec_streamcluster_test.csv,,8,0,
parsec_streamcluster,qmap,0.99991,99.991,4,100033.0,0,0.0,0,100000,9,5,dataset/processed/real_workload_suite/1m/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite/1m/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite/1m/parsec_streamcluster_test.csv,dataset/jsonl/real_workload_suite/1m/parsec_streamcluster_train.jsonl,8,2,/home/likc/Q-former-for-OS/outputs/checkpoints/real_workload_suite/1m/parsec_streamcluster/qmap_epoch_10.pth
parsec_dedup,lru,0.99946,99.946,50,100734.0,38,0.0005108733220319999,38,100000,54,4,dataset/processed/real_workload_suite/1m/parsec_dedup_train.csv,dataset/processed/real_workload_suite/1m/parsec_dedup_valid.csv,dataset/processed/real_workload_suite/1m/parsec_dedup_test.csv,,8,0,
parsec_dedup,random,0.99928,99.928,56,100968.0,56,0.0023120997606643607,56,100000,72,16,dataset/processed/real_workload_suite/1m/parsec_dedup_train.csv,dataset/processed/real_workload_suite/1m/parsec_dedup_valid.csv,dataset/processed/real_workload_suite/1m/parsec_dedup_test.csv,,8,0,
parsec_dedup,lfu,0.9989,99.89,106,101686.0,94,0.0075352913204659805,94,100000,110,4,dataset/processed/real_workload_suite/1m/parsec_dedup_train.csv,dataset/processed/real_workload_suite/1m/parsec_dedup_valid.csv,dataset/processed/real_workload_suite/1m/parsec_dedup_test.csv,,8,0,
parsec_dedup,clock,0.99945,99.945,51,100751.0,39,0.0018105507852175296,39,100000,55,4,dataset/processed/real_workload_suite/1m/parsec_dedup_train.csv,dataset/processed/real_workload_suite/1m/parsec_dedup_valid.csv,dataset/processed/real_workload_suite/1m/parsec_dedup_test.csv,,8,0,
parsec_dedup,qmap,0.99946,99.946,50,100734.0,38,19.989762167250248,38,100000,54,4,dataset/processed/real_workload_suite/1m/parsec_dedup_train.csv,dataset/processed/real_workload_suite/1m/parsec_dedup_valid.csv,dataset/processed/real_workload_suite/1m/parsec_dedup_test.csv,dataset/jsonl/real_workload_suite/1m/parsec_dedup_train.jsonl,8,2,/home/likc/Q-former-for-OS/outputs/checkpoints/real_workload_suite/1m/parsec_dedup/qmap_epoch_10.pth
