workload,policy,hit_rate,hit_rate_percent,nvm_writes,weighted_access_cost,migrations,avg_decision_time_ms,decision_count,total_accesses,misses,nvm_reads,train_trace,valid_trace,test_trace,jsonl,candidate_count,rank_guard,checkpoint
parsec_streamcluster,lru,0.95354,95.354,585,305562.0,9276,0.0002915895830738668,9276,200000,9292,8707,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_test.csv,,8,0,
parsec_streamcluster,random,0.950145,95.0145,777,314183.0,9955,0.001141043718565594,9955,200000,9971,9194,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_test.csv,,8,0,
parsec_streamcluster,lfu,0.928365,92.8365,740,361877.0,14311,0.005754339627478534,14311,200000,14327,13587,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_test.csv,,8,0,
parsec_streamcluster,clock,0.955235,95.5235,574,301767.0,8937,0.0015036304050628619,8937,200000,8953,8379,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_test.csv,,8,0,
parsec_streamcluster,qmap,0.970015,97.0015,548,269095.0,5981,2.314655807680847,5981,200000,5997,5449,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_test.csv,dataset/jsonl/capacity_sensitivity/streamcluster_pressure/cap16/parsec_streamcluster_train.jsonl,8,0,outputs/checkpoints/capacity_sensitivity/streamcluster_pressure/cap16/parsec_streamcluster/qmap_epoch_10.pth
