variant,purpose,hit_rate_percent,hit_rate_delta_pp,weighted_access_cost,cost_delta_percent,nvm_writes,nvm_writes_saved_vs_full,nvm_writes_delta_percent,nvm_writes_reduction_vs_variant_percent,nvm_reads,migrations,avg_decision_time_ms,decision_count,result_dir,checkpoint
full,complete QMAP baseline,73.3,0.0,7854.0,0.0,210,0,0.0,0.0,324,406,3.0567024099259763,406,outputs/results/qmap_cost_w8_m4_writeheavy/full,outputs/checkpoints/qmap_cost_w8_m4_writeheavy/full/qmap_epoch_10.pth
no_cost,disable write-sensitivity and migration-cost loss terms,73.3,0.0,7860.0,0.07639419404125286,211,1,0.47619047619047616,0.47393364928909953,323,406,3.0574029308096895,406,outputs/results/qmap_cost_w8_m4_writeheavy/no_cost,outputs/checkpoints/qmap_cost_w8_m4_writeheavy/no_cost/qmap_epoch_10.pth
