workload,policy,hit_rate,hit_rate_percent,nvm_writes,weighted_access_cost,migrations,avg_decision_time_ms,decision_count,total_accesses,misses,nvm_reads,train_trace,valid_trace,test_trace,jsonl,candidate_count,rank_guard,checkpoint
parsec_streamcluster,lru,0.95354,95.354,585,305562.0,9276,0.00031832528542349723,9276,200000,9292,8707,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_test.csv,,16,0,
parsec_streamcluster,random,0.950145,95.0145,777,314183.0,9955,0.0011280190951781677,9955,200000,9971,9194,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_test.csv,,16,0,
parsec_streamcluster,lfu,0.928365,92.8365,740,361877.0,14311,0.005635203549995145,14311,200000,14327,13587,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_test.csv,,16,0,
parsec_streamcluster,clock,0.955235,95.5235,574,301767.0,8937,0.0014383824764339999,8937,200000,8953,8379,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_test.csv,,16,0,
parsec_streamcluster,qmap,0.960435,96.04350000000001,367,289085.0,7897,2.3667272313731353,7897,200000,7913,7546,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_train.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_valid.csv,dataset/processed/real_workload_suite_pressure/selected/parsec_streamcluster_test.csv,dataset/jsonl/candidate_sensitivity/streamcluster_pressure/c16/parsec_streamcluster_train.jsonl,16,0,outputs/checkpoints/candidate_sensitivity/streamcluster_pressure/c16/parsec_streamcluster/qmap_epoch_10.pth
