workload,policy,hit_rate,hit_rate_percent,nvm_writes,weighted_access_cost,migrations,avg_decision_time_ms,decision_count,total_accesses,misses,nvm_reads,train_trace,valid_trace,test_trace,jsonl,checkpoint
parsec_dedup,lru,0.9556,95.56,14,7366.0,206,0.0004024669817350443,206,5000,222,208,dataset/processed/real_pilot_dedup_pressure_rankfix/parsec_dedup_train.csv,dataset/processed/real_pilot_dedup_pressure_rankfix/parsec_dedup_valid.csv,dataset/processed/real_pilot_dedup_pressure_rankfix/parsec_dedup_test.csv,,
parsec_dedup,random,0.9482,94.82000000000001,24,7833.0,243,0.0011853321834846779,243,5000,259,235,dataset/processed/real_pilot_dedup_pressure_rankfix/parsec_dedup_train.csv,dataset/processed/real_pilot_dedup_pressure_rankfix/parsec_dedup_valid.csv,dataset/processed/real_pilot_dedup_pressure_rankfix/parsec_dedup_test.csv,,
parsec_dedup,lfu,0.9512,95.12,20,7644.0,228,0.006054411642253399,228,5000,244,224,dataset/processed/real_pilot_dedup_pressure_rankfix/parsec_dedup_train.csv,dataset/processed/real_pilot_dedup_pressure_rankfix/parsec_dedup_valid.csv,dataset/processed/real_pilot_dedup_pressure_rankfix/parsec_dedup_test.csv,,
parsec_dedup,clock,0.9568,95.67999999999999,15,7306.0,200,0.0018440629355609417,200,5000,216,201,dataset/processed/real_pilot_dedup_pressure_rankfix/parsec_dedup_train.csv,dataset/processed/real_pilot_dedup_pressure_rankfix/parsec_dedup_valid.csv,dataset/processed/real_pilot_dedup_pressure_rankfix/parsec_dedup_test.csv,,
parsec_dedup,qmap,0.9364,93.64,14,8422.0,302,4.405729421753659,302,5000,318,304,dataset/processed/real_pilot_dedup_pressure_rankfix/parsec_dedup_train.csv,dataset/processed/real_pilot_dedup_pressure_rankfix/parsec_dedup_valid.csv,dataset/processed/real_pilot_dedup_pressure_rankfix/parsec_dedup_test.csv,dataset/jsonl/real_pilot_dedup_pressure_rankfix/parsec_dedup_train.jsonl,outputs/checkpoints/real_pilot_dedup_pressure_rankfix/parsec_dedup/qmap_epoch_10.pth
