workload,source_test_path,source_test_sha256,split_relative_start,split_relative_end_exclusive,raw_trace_start,raw_trace_end_exclusive,window_records,scan_step,D,F_low,F_target,unique_pages,reactive_lru_misses,reactive_lru_replacement_decisions,pressure_eligible,ineligibility_reasons,selection_features_used,contract_sha256,code_sha256,config_sha256
dedup_pressure,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,0,500000,2400000,2900000,500000,10000,21,1,3,227,227,206,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
dedup_pressure,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,10000,510000,2410000,2910000,500000,10000,21,1,3,227,227,206,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
dedup_pressure,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,20000,520000,2420000,2920000,500000,10000,21,1,3,227,227,206,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
dedup_pressure,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,30000,530000,2430000,2930000,500000,10000,21,1,3,227,227,206,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
dedup_pressure,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,40000,540000,2440000,2940000,500000,10000,21,1,3,227,227,206,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
dedup_pressure,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,50000,550000,2450000,2950000,500000,10000,21,1,3,227,227,206,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
dedup_pressure,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,60000,560000,2460000,2960000,500000,10000,21,1,3,227,227,206,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
dedup_pressure,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,70000,570000,2470000,2970000,500000,10000,21,1,3,227,227,206,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
dedup_pressure,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,80000,580000,2480000,2980000,500000,10000,21,1,3,226,226,205,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
dedup_pressure,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,90000,590000,2490000,2990000,500000,10000,21,1,3,227,227,206,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
dedup_pressure,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,100000,600000,2500000,3000000,500000,10000,21,1,3,227,227,206,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
blackscholes,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/blackscholes/test.csv,27f4f7107f15ea52ec2052efdcffab3e2cb6cb605f4ac6cd79c6aa49a23d2a3f,0,500000,2400000,2900000,500000,10000,8,1,2,22,24103,24095,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
blackscholes,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/blackscholes/test.csv,27f4f7107f15ea52ec2052efdcffab3e2cb6cb605f4ac6cd79c6aa49a23d2a3f,10000,510000,2410000,2910000,500000,10000,8,1,2,22,24096,24088,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
blackscholes,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/blackscholes/test.csv,27f4f7107f15ea52ec2052efdcffab3e2cb6cb605f4ac6cd79c6aa49a23d2a3f,20000,520000,2420000,2920000,500000,10000,8,1,2,22,24089,24081,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
blackscholes,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/blackscholes/test.csv,27f4f7107f15ea52ec2052efdcffab3e2cb6cb605f4ac6cd79c6aa49a23d2a3f,30000,530000,2430000,2930000,500000,10000,8,1,2,22,24080,24072,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
blackscholes,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/blackscholes/test.csv,27f4f7107f15ea52ec2052efdcffab3e2cb6cb605f4ac6cd79c6aa49a23d2a3f,40000,540000,2440000,2940000,500000,10000,8,1,2,22,24096,24088,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
blackscholes,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/blackscholes/test.csv,27f4f7107f15ea52ec2052efdcffab3e2cb6cb605f4ac6cd79c6aa49a23d2a3f,50000,550000,2450000,2950000,500000,10000,8,1,2,22,24110,24102,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
blackscholes,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/blackscholes/test.csv,27f4f7107f15ea52ec2052efdcffab3e2cb6cb605f4ac6cd79c6aa49a23d2a3f,60000,560000,2460000,2960000,500000,10000,8,1,2,22,24114,24106,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
blackscholes,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/blackscholes/test.csv,27f4f7107f15ea52ec2052efdcffab3e2cb6cb605f4ac6cd79c6aa49a23d2a3f,70000,570000,2470000,2970000,500000,10000,8,1,2,22,24112,24104,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
blackscholes,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/blackscholes/test.csv,27f4f7107f15ea52ec2052efdcffab3e2cb6cb605f4ac6cd79c6aa49a23d2a3f,80000,580000,2480000,2980000,500000,10000,8,1,2,22,24172,24164,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
blackscholes,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/blackscholes/test.csv,27f4f7107f15ea52ec2052efdcffab3e2cb6cb605f4ac6cd79c6aa49a23d2a3f,90000,590000,2490000,2990000,500000,10000,8,1,2,22,24271,24263,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
blackscholes,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/blackscholes/test.csv,27f4f7107f15ea52ec2052efdcffab3e2cb6cb605f4ac6cd79c6aa49a23d2a3f,100000,600000,2500000,3000000,500000,10000,8,1,2,22,24381,24373,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
swaptions,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/swaptions/test.csv,59afbf2923aea4ac6b1375fb3abc602c192b3e789a829b1a0415f50725ce0ef8,0,500000,2400000,2900000,500000,10000,8,1,2,25,5478,5470,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
swaptions,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/swaptions/test.csv,59afbf2923aea4ac6b1375fb3abc602c192b3e789a829b1a0415f50725ce0ef8,10000,510000,2410000,2910000,500000,10000,8,1,2,25,5634,5626,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
swaptions,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/swaptions/test.csv,59afbf2923aea4ac6b1375fb3abc602c192b3e789a829b1a0415f50725ce0ef8,20000,520000,2420000,2920000,500000,10000,8,1,2,25,5898,5890,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
swaptions,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/swaptions/test.csv,59afbf2923aea4ac6b1375fb3abc602c192b3e789a829b1a0415f50725ce0ef8,30000,530000,2430000,2930000,500000,10000,8,1,2,25,5853,5845,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
swaptions,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/swaptions/test.csv,59afbf2923aea4ac6b1375fb3abc602c192b3e789a829b1a0415f50725ce0ef8,40000,540000,2440000,2940000,500000,10000,8,1,2,25,5852,5844,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
swaptions,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/swaptions/test.csv,59afbf2923aea4ac6b1375fb3abc602c192b3e789a829b1a0415f50725ce0ef8,50000,550000,2450000,2950000,500000,10000,8,1,2,25,5797,5789,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
swaptions,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/swaptions/test.csv,59afbf2923aea4ac6b1375fb3abc602c192b3e789a829b1a0415f50725ce0ef8,60000,560000,2460000,2960000,500000,10000,8,1,2,25,5458,5450,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
swaptions,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/swaptions/test.csv,59afbf2923aea4ac6b1375fb3abc602c192b3e789a829b1a0415f50725ce0ef8,70000,570000,2470000,2970000,500000,10000,8,1,2,25,5819,5811,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
swaptions,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/swaptions/test.csv,59afbf2923aea4ac6b1375fb3abc602c192b3e789a829b1a0415f50725ce0ef8,80000,580000,2480000,2980000,500000,10000,8,1,2,25,5902,5894,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
swaptions,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/swaptions/test.csv,59afbf2923aea4ac6b1375fb3abc602c192b3e789a829b1a0415f50725ce0ef8,90000,590000,2490000,2990000,500000,10000,8,1,2,25,5844,5836,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
swaptions,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/swaptions/test.csv,59afbf2923aea4ac6b1375fb3abc602c192b3e789a829b1a0415f50725ce0ef8,100000,600000,2500000,3000000,500000,10000,8,1,2,25,5861,5853,True,[],"[""unique_pages"",""reactive_lru_replacement_decisions""]",1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,b149ce6bc262d16f2f76c6adee8c8c86d137d36d4ef4650be4420af182824936,eb5270f1c9853791267860a0ef9fc07df72467300e6d1e032064cf5e34d89a19
