absolute_delta,current_engine_cost,exact_match,legacy_imported_cost,policy,relative_delta_percent
0.0,305562.0,True,305562.0,lru,0.0
869.3333333333139,315052.3333333333,False,314183.0,random,0.276696490049848
0.0,361877.0,True,361877.0,lfu,0.0
0.0,301767.0,True,301767.0,clock,0.0
