checkpoint,checkpoint_fingerprint,config_fingerprint,config_id,epoch,evaluation_split,phase,seed,selector_fingerprint,test_trace_opened,test_used_for_selection,valid_loss,weighted_access_cost,workload
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16/seed_3136859/qmap_epoch_3.pth,b1a1a0dd50f020153ad08ee2c688b343a6cb0a8854e8e320fe8f1fc185e983c8,e2e6382de1fd1e59e5115cd3dba6110163ee6509e34a5027abd140dbf047e84e,opt_B32_K16,3,valid,o2,3136859,3d2e9d5c038212ee4198d6ccdeb71fd503819b295e473111ace5302275002df0,False,False,-0.06890161668260893,230088.0,canneal
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16/seed_3136859/qmap_epoch_4.pth,bdd90433faac80e335dfe89d89e232c4f97314c7ce101fcd7d9081d67244dcb3,e2e6382de1fd1e59e5115cd3dba6110163ee6509e34a5027abd140dbf047e84e,opt_B32_K16,4,valid,o2,3136859,3d2e9d5c038212ee4198d6ccdeb71fd503819b295e473111ace5302275002df0,False,False,-0.06972468510270119,230143.0,canneal
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16/seed_3136859/qmap_epoch_5.pth,de1ac4cbd300108f730b4e9f0f32bddf61efca9d433e65ae87b1b3c25196762b,e2e6382de1fd1e59e5115cd3dba6110163ee6509e34a5027abd140dbf047e84e,opt_B32_K16,5,valid,o2,3136859,3d2e9d5c038212ee4198d6ccdeb71fd503819b295e473111ace5302275002df0,False,False,-0.07000038216511409,230132.0,canneal
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16/seed_3136859/qmap_epoch_6.pth,b6eb5145e1034211e7b92eedc9758b6e2ee2d064e7b6778d0de42b22d801f7ac,e2e6382de1fd1e59e5115cd3dba6110163ee6509e34a5027abd140dbf047e84e,opt_B32_K16,6,valid,o2,3136859,3d2e9d5c038212ee4198d6ccdeb71fd503819b295e473111ace5302275002df0,False,False,-0.07000129769245783,230220.0,canneal
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16/seed_3136859/qmap_epoch_7.pth,f2ebeae35fc846ace1915c571744f89d86ea5759779664b77c688d6ae4e10a4c,e2e6382de1fd1e59e5115cd3dba6110163ee6509e34a5027abd140dbf047e84e,opt_B32_K16,7,valid,o2,3136859,3d2e9d5c038212ee4198d6ccdeb71fd503819b295e473111ace5302275002df0,False,False,-0.0698868253827095,230209.0,canneal
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16/seed_3136859/qmap_epoch_8.pth,d633fc062a506b0f3447c1e8670924e0b23685728fdaa61f20dc54be5e782364,e2e6382de1fd1e59e5115cd3dba6110163ee6509e34a5027abd140dbf047e84e,opt_B32_K16,8,valid,o2,3136859,3d2e9d5c038212ee4198d6ccdeb71fd503819b295e473111ace5302275002df0,False,False,-0.07019752711057663,230275.0,canneal
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16/seed_3136859/qmap_epoch_9.pth,bf0ab3e2852d900eb813e163f728c7c589c392946e290db85f6d1d14bd67779c,e2e6382de1fd1e59e5115cd3dba6110163ee6509e34a5027abd140dbf047e84e,opt_B32_K16,9,valid,o2,3136859,3d2e9d5c038212ee4198d6ccdeb71fd503819b295e473111ace5302275002df0,False,False,-0.07037165760993958,230187.0,canneal
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16/seed_3136859/qmap_epoch_10.pth,4b188e3f56dab3f9e24054595f0bfaf49fd89e99a9eeab80ba2dbb37d4336a34,e2e6382de1fd1e59e5115cd3dba6110163ee6509e34a5027abd140dbf047e84e,opt_B32_K16,10,valid,o2,3136859,3d2e9d5c038212ee4198d6ccdeb71fd503819b295e473111ace5302275002df0,False,False,-0.0702091487745444,229978.0,canneal
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16_L512/seed_3136859/qmap_epoch_1.pth,28dffc41c332ebf50ad0ef59055e9eaf82819105355b426aac7dff755a9d8417,0084a1ed852ba6bd0b8e8e91df0553e02d071b701dcdc725d1838ae5aea0a358,opt_B32_K16_L512,1,valid,o2,3136859,0531823c1e25e6c45eb520b1e84b2e9d917810d5a95c8f39c6ead00af4b0ce75,False,False,-0.13553787382940452,230187.0,canneal
/home/likc/Q-former-for-OS/outputs/checkpoints/capd_post_stage6_optimization/o2/canneal/opt_B32_K16_L512/seed_3136859/qmap_epoch_2.pth,85943c8a7a0f1a997d69c22dc3173d4243bd1d4ceb3c6d6386db2e3891256304,0084a1ed852ba6bd0b8e8e91df0553e02d071b701dcdc725d1838ae5aea0a358,opt_B32_K16_L512,2,valid,o2,3136859,0531823c1e25e6c45eb520b1e84b2e9d917810d5a95c8f39c6ead00af4b0ce75,False,False,-0.13946117599805197,229978.0,canneal
