policy,hit_rate_percent,nvm_writes,weighted_access_cost,migrations,avg_decision_time_ms,decision_count,total_accesses,misses,nvm_reads
lru,51.800000000000004,168,11660.0,836,0.0002488671327410845,836,2000,964,796
random,45.95,209,13029.0,953,0.0008586311619044726,953,2000,1081,872
lfu,60.45,115,9651.0,663,0.022740057124552595,663,2000,791,676
clock,47.099999999999994,205,12768.0,930,0.00095169613217955,930,2000,1058,853
qmap,59.599999999999994,115,9838.0,680,2.555562247802942,680,2000,808,693
