workload,source_trace_id,requested_ratio,D_base,D_guarded,effective_ratio,guard_applied,source_start_inclusive,source_end_exclusive,test_relative_start,test_relative_end,window_records,unique_pages,misses,lru_replacement_decisions,write_count,write_ratio,page_entry_count,selection_eligible,eligibility_reason,source_raw_sha256,source_split_sha256
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2540000,2640000,140000,240000,100000,241,241,0,88888,0.88888,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2550000,2650000,150000,250000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2560000,2660000,160000,260000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2570000,2670000,170000,270000,100000,240,240,0,88889,0.88889,240,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2580000,2680000,180000,280000,100000,240,240,0,88889,0.88889,240,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2590000,2690000,190000,290000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2600000,2700000,200000,300000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2610000,2710000,210000,310000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2620000,2720000,220000,320000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2630000,2730000,230000,330000,100000,241,241,0,88888,0.88888,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2640000,2740000,240000,340000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2650000,2750000,250000,350000,100000,240,240,0,88889,0.88889,240,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2660000,2760000,260000,360000,100000,240,240,0,88889,0.88889,240,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2670000,2770000,270000,370000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2680000,2780000,280000,380000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.20,889,889,0.20009002925950933,False,2690000,2790000,290000,390000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
