row_id,run_id,source_job_id,track,workload,policy,seed,cost_profile,dram_hit_weight,nvm_read_weight,nvm_write_weight,demotion_weight,dram_hits,nvm_reads,nvm_writes,total_demotions,raw_access_count,reactive_demotions,proactive_demotions,emergency_demotions,weighted_cost,weighted_cost_per_access,evidence_mode,evidence_status
standard__blackscholes__proactive_clock::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__proactive_clock,standard,blackscholes,proactive_clock,N/A,write_expensive,1,2,12,10,567130,30809,2061,32862,600000,0,21908,10954,982100,1.6368333333333334,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__proactive_clock::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__proactive_clock,standard,blackscholes,proactive_clock,N/A,migration_expensive,1,2,8,20,567130,30809,2061,32862,600000,0,21908,10954,1302476,2.170793333333333,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__proactive_lru::read_light,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__proactive_lru,standard,blackscholes,proactive_lru,N/A,read_light,1,2,4,8,567195,31165,1640,32799,600000,0,21866,10933,898477,1.4974616666666667,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__proactive_lru::default,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__proactive_lru,standard,blackscholes,proactive_lru,N/A,default,1,2,8,10,567195,31165,1640,32799,600000,0,21866,10933,970635,1.617725,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__proactive_lru::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__proactive_lru,standard,blackscholes,proactive_lru,N/A,write_expensive,1,2,12,10,567195,31165,1640,32799,600000,0,21866,10933,977195,1.6286583333333333,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__proactive_lru::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__proactive_lru,standard,blackscholes,proactive_lru,N/A,migration_expensive,1,2,8,20,567195,31165,1640,32799,600000,0,21866,10933,1298625,2.164375,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__reactive_lru::read_light,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__reactive_lru,standard,blackscholes,reactive_lru,N/A,read_light,1,2,4,8,571075,27285,1640,28917,600000,28917,0,0,863541,1.439235,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__reactive_lru::default,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__reactive_lru,standard,blackscholes,reactive_lru,N/A,default,1,2,8,10,571075,27285,1640,28917,600000,28917,0,0,927935,1.5465583333333333,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__reactive_lru::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__reactive_lru,standard,blackscholes,reactive_lru,N/A,write_expensive,1,2,12,10,571075,27285,1640,28917,600000,28917,0,0,934495,1.5574916666666667,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__reactive_lru::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__reactive_lru,standard,blackscholes,reactive_lru,N/A,migration_expensive,1,2,8,20,571075,27285,1640,28917,600000,28917,0,0,1217105,2.0285083333333334,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__tpp_inspired::read_light,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__tpp_inspired,standard,blackscholes,tpp_inspired,N/A,read_light,1,2,4,8,567195,31165,1640,32799,600000,0,21866,10933,898477,1.4974616666666667,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__tpp_inspired::default,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__tpp_inspired,standard,blackscholes,tpp_inspired,N/A,default,1,2,8,10,567195,31165,1640,32799,600000,0,21866,10933,970635,1.617725,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__tpp_inspired::write_expensive,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__tpp_inspired,standard,blackscholes,tpp_inspired,N/A,write_expensive,1,2,12,10,567195,31165,1640,32799,600000,0,21866,10933,977195,1.6286583333333333,offline_raw_counter_recompute,candidate-ready
standard__blackscholes__tpp_inspired::migration_expensive,stage11-standard-cost-profiles-v2-r6,standard__blackscholes__tpp_inspired,standard,blackscholes,tpp_inspired,N/A,migration_expensive,1,2,8,20,567195,31165,1640,32799,600000,0,21866,10933,1298625,2.164375,offline_raw_counter_recompute,candidate-ready
standard__canneal__capd__seed-2026::read_light,stage11-standard-cost-profiles-v2-r6,standard__canneal__capd__seed-2026,standard,canneal,capd,2026,read_light,1,2,4,8,598566,1,1433,1320,600000,0,1320,0,614860,1.0247666666666666,offline_raw_counter_recompute,candidate-ready
standard__canneal__capd__seed-2026::default,stage11-standard-cost-profiles-v2-r6,standard__canneal__capd__seed-2026,standard,canneal,capd,2026,default,1,2,8,10,598566,1,1433,1320,600000,0,1320,0,623232,1.03872,offline_raw_counter_recompute,candidate-ready
