workload,seed,full_weighted_access_cost,no_vpn_weighted_access_cost,weighted_access_cost_absolute_delta,weighted_access_cost_relative_delta_percent,full_hit_rate,no_vpn_hit_rate,hit_rate_absolute_delta,hit_rate_relative_delta_percent,full_nvm_reads,no_vpn_nvm_reads,nvm_reads_absolute_delta,nvm_reads_relative_delta_percent,full_nvm_writes,no_vpn_nvm_writes,nvm_writes_absolute_delta,nvm_writes_relative_delta_percent,full_demotions,no_vpn_demotions,demotions_absolute_delta,demotions_relative_delta_percent,full_avg_decision_time_ms,no_vpn_avg_decision_time_ms,avg_decision_time_ms_absolute_delta,avg_decision_time_ms_relative_delta_percent,full_best_epoch,full_validation_metric,full_training_time_seconds,no_vpn_best_epoch,no_vpn_validation_metric,no_vpn_training_time_seconds
canneal,3136859,229156.0,227418.0,-1738.0,-0.7584353017158617,0.9865,0.98729,0.0007899999999999574,0.08008109477951925,2684.0,2526.0,-158.0,-5.886736214605067,16.0,16.0,0.0,0.0,2636.0,2478.0,-158.0,-5.993930197268589,3.704961858740485,3.741495202713976,0.03653334397349095,0.9860653190613572,10,-0.03559597897032896,54.68676543235779,10,-0.03514109241465727,51.83288097381592
canneal,42,226318.0,227396.0,1078.0,0.47632092895836836,0.98779,0.9873,-0.0004899999999999904,-0.0496056854189646,2426.0,2524.0,98.0,4.03957131079967,16.0,16.0,0.0,0.0,2378.0,2476.0,98.0,4.121110176619007,3.6091020318694786,3.8253084781776394,0.21620644630816077,5.990588362395729,10,-0.03504671519001325,53.66214060783386,10,-0.03519641155997912,53.276540756225586
canneal,2026,227011.0,229706.0,2695.0,1.187167141680359,0.987475,0.98625,-0.0012250000000000316,-0.12405377351325671,2489.0,2734.0,245.0,9.843310566492567,16.0,16.0,0.0,0.0,2441.0,2686.0,245.0,10.036870135190496,3.6586227836837057,3.7345269739392752,0.07590419025556949,2.0746656527171385,10,-0.03549373390773932,54.329885482788086,10,-0.03506837440033754,54.48431968688965
streamcluster_pressure,3136859,230628.0,231750.0,1122.0,0.4864977366148083,0.98579,0.98528,-0.0005100000000000104,-0.05173515657493081,2841.0,2943.0,102.0,3.5902851108764517,1.0,1.0,0.0,0.0,2778.0,2880.0,102.0,3.6717062634989204,3.698613904958827,7.019005394108212,3.320391489149385,89.77394165683664,10,-0.046988382893666795,65.32202816009521,10,-0.04552332129789872,64.73145604133606
streamcluster_pressure,42,230628.0,231750.0,1122.0,0.4864977366148083,0.98579,0.98528,-0.0005100000000000104,-0.05173515657493081,2841.0,2943.0,102.0,3.5902851108764517,1.0,1.0,0.0,0.0,2778.0,2880.0,102.0,3.6717062634989204,3.665446278243041,3.721968050336323,0.05652177209328224,1.5420161094374254,8,-0.047048337987802,64.84398484230042,10,-0.045525511391879464,71.42924642562866
streamcluster_pressure,2026,230628.0,231750.0,1122.0,0.4864977366148083,0.98579,0.98528,-0.0005100000000000104,-0.05173515657493081,2841.0,2943.0,102.0,3.5902851108764517,1.0,1.0,0.0,0.0,2778.0,2880.0,102.0,3.6717062634989204,3.7388183365346657,3.6626720231854253,-0.07614631334924038,-2.0366411656100096,10,-0.04697556287217676,56.48830771446228,10,-0.04552884000154694,64.63652276992798
dedup_pressure,3136859,1045555.0,1045583.0,28.0,0.0026780035483547015,0.996641,0.996639,-1.999999999946489e-06,-0.0002006740641762168,1818.0,1819.0,1.0,0.055005500550055,1541.0,1542.0,1.0,0.06489292667099286,3295.0,3297.0,2.0,0.06069802731411229,3.7076932263994458,3.7358487751042544,0.02815554870480863,0.7593818308466308,1,-0.0011781647980931293,39.00928354263306,1,-0.0011783382709485938,37.822673082351685
dedup_pressure,42,1045275.0,1045308.0,33.0,0.0031570639305445935,0.996667,0.996664,-2.9999999999752447e-06,-0.00030100324380914035,1791.0,1794.0,3.0,0.16750418760469013,1542.0,1542.0,0.0,0.0,3269.0,3272.0,3.0,0.09177118384827164,3.657097002280817,3.718453542430274,0.061356540149456684,1.6777389309386797,1,-0.001178629831018218,37.63125133514404,1,-0.0011782899319407452,36.93811058998108
dedup_pressure,2026,1045434.0,1045605.0,171.0,0.016356843186657408,0.996652,0.996637,-1.4999999999987246e-05,-0.0015050388701359396,1807.0,1821.0,14.0,0.774764803541782,1541.0,1542.0,1.0,0.06489292667099286,3284.0,3299.0,15.0,0.45676004872107184,3.6956228967706406,3.731297715701853,0.03567481893121238,0.9653262772667157,1,-0.0011781742684094302,35.98260760307312,1,-0.0011781763779111654,40.625990867614746
