workload,metric,metric_label,seed_count,full_mean,full_std,full_min,full_max,no_vpn_mean,no_vpn_std,no_vpn_min,no_vpn_max,absolute_delta_mean,absolute_delta_std,absolute_delta_min,absolute_delta_max,relative_delta_percent_mean,relative_delta_percent_std,relative_delta_percent_min,relative_delta_percent_max
canneal,weighted_access_cost,weighted cost,3,227495.0,1479.6124492582508,226318.0,229156.0,228173.33333333334,1327.3738483687755,227396.0,229706.0,678.3333333333334,2243.3618373622508,-1738.0,2695.0,0.3016842563076219,0.9844875278606781,-0.7584353017158617,1.187167141680359
canneal,hit_rate,hit rate,3,0.987255,0.0006725511132991576,0.9865,0.98779,0.9869466666666666,0.0006033517492585447,0.98625,0.9873,-0.0003083333333333549,0.0010197099260737408,-0.0012250000000000316,0.0007899999999999574,-0.03119278805090069,0.10330555263557901,-0.12405377351325671,0.08008109477951925
canneal,nvm_reads,NVM reads,3,2533.0,134.510222659841,2426.0,2684.0,2594.6666666666665,120.67034985170687,2524.0,2734.0,61.666666666666664,203.94198521475008,-158.0,245.0,2.6653818875623903,7.95455155002989,-5.886736214605067,9.843310566492567
canneal,nvm_writes,NVM writes,3,16.0,0.0,16.0,16.0,16.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
canneal,demotions,demotions,3,2485.0,134.510222659841,2378.0,2636.0,2546.6666666666665,120.67034985170687,2476.0,2686.0,61.666666666666664,203.94198521475008,-158.0,245.0,2.721350038180305,8.106548967264926,-5.993930197268589,10.036870135190496
canneal,avg_decision_time_ms,average decision time (ms),3,3.6575622247645563,0.04793871286184646,3.6091020318694786,3.704961858740485,3.7671102182769634,0.050521452321406084,3.7345269739392752,3.8253084781776394,0.10954799351240707,0.09444329012073743,0.03653334397349095,0.21620644630816077,3.0171064447247415,2.6320065933895607,0.9860653190613572,5.990588362395729
streamcluster_pressure,weighted_access_cost,weighted cost,3,230628.0,0.0,230628.0,230628.0,231750.0,0.0,231750.0,231750.0,1122.0,0.0,1122.0,1122.0,0.4864977366148083,0.0,0.4864977366148083,0.4864977366148083
streamcluster_pressure,hit_rate,hit rate,3,0.98579,0.0,0.98579,0.98579,0.98528,0.0,0.98528,0.98528,-0.0005100000000000104,0.0,-0.0005100000000000104,-0.0005100000000000104,-0.05173515657493081,0.0,-0.05173515657493081,-0.05173515657493081
streamcluster_pressure,nvm_reads,NVM reads,3,2841.0,0.0,2841.0,2841.0,2943.0,0.0,2943.0,2943.0,102.0,0.0,102.0,102.0,3.5902851108764517,0.0,3.5902851108764517,3.5902851108764517
streamcluster_pressure,nvm_writes,NVM writes,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
streamcluster_pressure,demotions,demotions,3,2778.0,0.0,2778.0,2778.0,2880.0,0.0,2880.0,2880.0,102.0,0.0,102.0,102.0,3.6717062634989204,0.0,3.6717062634989204,3.6717062634989204
streamcluster_pressure,avg_decision_time_ms,average decision time (ms),3,3.7009595065788443,0.03674222529607142,3.665446278243041,3.7388183365346657,4.801215155876653,1.9208915014402463,3.6626720231854253,7.019005394108212,1.1002556492978088,1.9238379780451478,-0.07614631334924038,3.320391489149385,29.759772200221352,52.00458728466715,-2.0366411656100096,89.77394165683664
dedup_pressure,weighted_access_cost,weighted cost,3,1045421.3333333334,140.4291042958451,1045275.0,1045555.0,1045498.6666666666,165.48816674715243,1045308.0,1045605.0,77.33333333333333,81.15622793928593,28.0,171.0,0.007397303555185568,0.007762885257324231,0.0026780035483547015,0.016356843186657408
dedup_pressure,hit_rate,hit rate,3,0.9966533333333333,1.3051181300286667e-05,0.996641,0.996667,0.9966466666666667,1.504437879518059e-05,0.996637,0.996664,-6.666666666636327e-06,7.234178138086422e-06,-1.4999999999987246e-05,-1.999999999946489e-06,-0.000668905392707099,0.0007258483864619306,-0.0015050388701359396,-0.0002006740641762168
dedup_pressure,nvm_reads,NVM reads,3,1805.3333333333333,13.576941236277534,1791.0,1818.0,1811.3333333333333,15.044378795195678,1794.0,1821.0,6.0,7.0,1.0,14.0,0.33242483056550903,0.3871853269646741,0.055005500550055,0.774764803541782
dedup_pressure,nvm_writes,NVM writes,3,1541.3333333333333,0.5773502691896257,1541.0,1542.0,1542.0,0.0,1542.0,1542.0,0.6666666666666666,0.5773502691896257,0.0,1.0,0.043261951113995244,0.03746594868200037,0.0,0.06489292667099286
dedup_pressure,demotions,demotions,3,3282.6666666666665,13.051181300301261,3269.0,3295.0,3289.3333333333335,15.044378795195676,3272.0,3299.0,6.666666666666667,7.234178138070234,2.0,15.0,0.20307641996115192,0.22024514271567883,0.06069802731411229,0.45676004872107184
dedup_pressure,avg_decision_time_ms,average decision time (ms),3,3.686804375150301,0.026425730196948577,3.657097002280817,3.7076932263994458,3.728533344412127,0.009021077619446363,3.718453542430274,3.7358487751042544,0.0417289692618259,0.017408791181358605,0.02815554870480863,0.061356540149456684,1.1341490130173422,0.48189291123870426,0.7593818308466308,1.6777389309386797
