average_free_frames,average_free_frames_sample_std,capacity_ratio,dram_hits,dram_hits_sample_std,emergency_demotions,emergency_demotions_sample_std,fallback_rate,fallback_rate_sample_std,minimum_free_frames,minimum_free_frames_sample_std,nvm_reads,nvm_reads_sample_std,nvm_writes,nvm_writes_sample_std,policy,proactive_demotions,proactive_demotions_sample_std,seed_count,seeds,total_demotions,total_demotions_sample_std,weighted_cost,weighted_cost_per_access,weighted_cost_per_access_sample_std,weighted_cost_sample_std,workload
369.3860883333333,0.0,0.20,599976.0,0.0,0.0,0.0,0.0,0.0,361.0,0.0,5.0,0.0,19.0,0.0,proactive_lru,0.0,0.0,1,[null],0.0,0.0,600138.0,1.00023,0.0,0.0,streamcluster_pressure
753.3860883333333,0.0,0.40,599976.0,0.0,0.0,0.0,0.0,0.0,745.0,0.0,5.0,0.0,19.0,0.0,reactive_lru,0.0,0.0,1,[null],0.0,0.0,600138.0,1.00023,0.0,0.0,streamcluster_pressure
753.3860883333333,0.0,0.40,599976.0,0.0,0.0,0.0,0.0,0.0,745.0,0.0,5.0,0.0,19.0,0.0,proactive_lru,0.0,0.0,1,[null],0.0,0.0,600138.0,1.00023,0.0,0.0,streamcluster_pressure
1137.3860883333334,0.0,0.60,599976.0,0.0,0.0,0.0,0.0,0.0,1129.0,0.0,5.0,0.0,19.0,0.0,reactive_lru,0.0,0.0,1,[null],0.0,0.0,600138.0,1.00023,0.0,0.0,streamcluster_pressure
1137.3860883333334,0.0,0.60,599976.0,0.0,0.0,0.0,0.0,0.0,1129.0,0.0,5.0,0.0,19.0,0.0,proactive_lru,0.0,0.0,1,[null],0.0,0.0,600138.0,1.00023,0.0,0.0,streamcluster_pressure
35.43931166666667,0.0,0.20,599975.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,21.0,0.0,4.0,0.0,reactive_lru,0.0,0.0,1,[null],0.0,0.0,600049.0,1.0000816666666668,0.0,0.0,swaptions
35.43931166666667,0.0,0.20,599975.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,21.0,0.0,4.0,0.0,proactive_lru,0.0,0.0,1,[null],0.0,0.0,600049.0,1.0000816666666668,0.0,0.0,swaptions
94.43931166666667,0.0,0.40,599975.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,21.0,0.0,4.0,0.0,reactive_lru,0.0,0.0,1,[null],0.0,0.0,600049.0,1.0000816666666668,0.0,0.0,swaptions
94.43931166666667,0.0,0.40,599975.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,21.0,0.0,4.0,0.0,proactive_lru,0.0,0.0,1,[null],0.0,0.0,600049.0,1.0000816666666668,0.0,0.0,swaptions
154.43931166666667,0.0,0.60,599975.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,21.0,0.0,4.0,0.0,reactive_lru,0.0,0.0,1,[null],0.0,0.0,600049.0,1.0000816666666668,0.0,0.0,swaptions
154.43931166666667,0.0,0.60,599975.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,21.0,0.0,4.0,0.0,proactive_lru,0.0,0.0,1,[null],0.0,0.0,600049.0,1.0000816666666668,0.0,0.0,swaptions
