average_free_frames,capacity_ratio,dram_hits,dram_pages,early_reuse_1024_count,early_reuse_1024_rate,early_reuse_256_count,early_reuse_256_rate,early_reuse_64_count,early_reuse_64_rate,emergency_demotions,fallback_rate,job_id,minimum_free_frames,nvm_reads,nvm_writes,policy,proactive_demotions,seed,semantic_result_sha256,total_demotions,wasted_demotion_count,weighted_cost,weighted_cost_per_access,workload,workload_role
1947.94251,0.60,598566,2666,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r060__oracle__seed-na,1232,1,1433,oracle,0,,d54681ce8968a802393b5984363d14150a9185f7e936f8ffa33aa4b6efe82e4a,0,0,610032,1.01672,canneal,seen_calibration_workload
1947.94251,0.60,598566,2666,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r060__capd__seed-3136859,1232,1,1433,capd,0,3136859,6ed4e9f120df35c0475186b6f60453a0b5f1b0783de598a79e68a2f155191f28,0,0,610032,1.01672,canneal,seen_calibration_workload
1947.94251,0.60,598566,2666,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r060__capd__seed-42,1232,1,1433,capd,0,42,2c72bdb42676237bc8c46c061deaaa4c9f33cc66e5afccc872d61368b7c6b201,0,0,610032,1.01672,canneal,seen_calibration_workload
1947.94251,0.60,598566,2666,0,0.0,0,0.0,0,0.0,0,0.0,canneal__r060__capd__seed-2026,1232,1,1433,capd,0,2026,74c1da733c03014fdaa8c11b96bd4d3b903e6068c42f06d5bea4e5918357516a,0,0,610032,1.01672,canneal,seen_calibration_workload
369.3860883333333,0.20,599976,385,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r020__reactive_lru__seed-na,361,5,19,reactive_lru,0,,540bf30f91c59b073a7be670fd102156beeebd4681a2295de8a9f9852490e4b2,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
369.3860883333333,0.20,599976,385,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r020__proactive_lru__seed-na,361,5,19,proactive_lru,0,,38aa8cc689548ef2cf90251303e29ca51cb4e5e61ed31ab4a897038af34481cd,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
369.3860883333333,0.20,599976,385,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r020__proactive_clock__seed-na,361,5,19,proactive_clock,0,,34795c81d8c6ab6aadafd77fa1a69ac2dd8ab9138b9a37dbd8812d455fb375fe,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
369.3860883333333,0.20,599976,385,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r020__tpp_inspired__seed-na,361,5,19,tpp_inspired,0,,6d27d8ef4978fb7f6492250abcf518caa811e9e1520e1384ae0b4d6efd8066de,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
369.3860883333333,0.20,599976,385,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r020__oracle__seed-na,361,5,19,oracle,0,,2bd71901dbf66d0c9b5870a1060527c8ad2b7da171e2182f3aedb34d47cf504e,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
369.3860883333333,0.20,599976,385,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r020__capd__seed-3136859,361,5,19,capd,0,3136859,cf780a23238a124f360dfcda846015332814cbe146c9548e4f36c1009b2f97cd,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
369.3860883333333,0.20,599976,385,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r020__capd__seed-42,361,5,19,capd,0,42,b98265630328306d435f7f1ab04b963f67412e44fe58a079462fbbdd12987e39,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
369.3860883333333,0.20,599976,385,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r020__capd__seed-2026,361,5,19,capd,0,2026,6f7faea6520a5969ef663f4be7d6344cfadd9f86f6a006172d56479287888878,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
753.3860883333333,0.40,599976,769,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r040__reactive_lru__seed-na,745,5,19,reactive_lru,0,,cddfd8a268d96590009362f7aefcf07976d4cb96214d69c803294076d5a3c69f,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
753.3860883333333,0.40,599976,769,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r040__proactive_lru__seed-na,745,5,19,proactive_lru,0,,15a6cade07475bad18d212fb82946b64629d35418b785e625a1f3c0ffe954e13,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
753.3860883333333,0.40,599976,769,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r040__proactive_clock__seed-na,745,5,19,proactive_clock,0,,df0ad79485c2cb65ac9c4e1c694da46a5b7b68bb422f10b5054b94b15de64bb6,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
753.3860883333333,0.40,599976,769,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r040__tpp_inspired__seed-na,745,5,19,tpp_inspired,0,,8e9061bb19285b9220514143a9bb309af35eb7780634cfc379e74ea9555cc4c6,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
753.3860883333333,0.40,599976,769,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r040__oracle__seed-na,745,5,19,oracle,0,,2e4fed62cc53571d59bbd7bbb9a4bed9d773b9315529b7e0f9ffb3c10fbd8d6d,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
753.3860883333333,0.40,599976,769,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r040__capd__seed-3136859,745,5,19,capd,0,3136859,d4adb828d10986a02c826d46cf483eade6cf393db8a10f090abe0aa5d97fd7b5,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
753.3860883333333,0.40,599976,769,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r040__capd__seed-42,745,5,19,capd,0,42,be79e6f58f5f273b7b6c41a1743e9b0e224c4815a9eceace9581bb6e5cdec420,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
753.3860883333333,0.40,599976,769,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r040__capd__seed-2026,745,5,19,capd,0,2026,490de92a93b9199fdeb1eb2e9737f3ebb9657ade3118a72c791d6030e0f5639d,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
1137.3860883333334,0.60,599976,1153,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r060__reactive_lru__seed-na,1129,5,19,reactive_lru,0,,2b80dba06dacc6ca99e95f1a4902c216f9a4f67df248de0eee1489de50b34a8a,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
1137.3860883333334,0.60,599976,1153,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r060__proactive_lru__seed-na,1129,5,19,proactive_lru,0,,e0528b8c863ff446ca38a13fce90db15910ba22665ac60eab43e05ba598398a6,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
1137.3860883333334,0.60,599976,1153,0,0.0,0,0.0,0,0.0,0,0.0,streamcluster_pressure__r060__proactive_clock__seed-na,1129,5,19,proactive_clock,0,,2354f223dc2d82caf01526f6fc16dd8965591173994cf19a7d33293a95136131,0,0,600138,1.00023,streamcluster_pressure,seen_calibration_workload
