workload,seed,qmap_cost,best_baseline_policy,best_baseline_cost,delta_percent,migrations,nvm_writes
streamcluster_pressure,3136859,264501.0,clock,301767.0,-12.349262841861437,5541,589
streamcluster_pressure,42,270304.0,clock,301767.0,-10.426256018716426,6068,590
streamcluster_pressure,2026,265585.0,clock,301767.0,-11.990045299850546,5639,590
blackscholes,3136859,105983.0,lfu,106952.0,-0.9060139127833047,525,32
blackscholes,42,104707.0,lfu,106952.0,-2.099072481113023,409,32
blackscholes,2026,105002.0,lfu,106952.0,-1.8232478121026254,438,28
canneal,3136859,150559.0,lru,126178.0,19.322702848357082,4567,51
canneal,42,152154.0,lru,126178.0,20.58679009019005,4718,40
canneal,2026,147212.0,lru,126178.0,16.67010096847311,4260,56
