workload,mean_delta,std_delta,min_delta,max_delta,conclusion
streamcluster_pressure,-11.075432370007325,0.44998272113162563,-11.70704550199326,-10.692355360261393,stable positive: all seeds beat best baseline
blackscholes,0.24403470715835138,1.7070377394087235,-1.0191487770214676,2.6572668112798263,mixed: seed can flip the conclusion
canneal,16.81143569666133,1.7673373581135183,14.779914089619426,19.08811361727084,negative boundary: all seeds worse than best baseline
