variant,purpose,hit_rate_percent,hit_rate_delta_pp,weighted_access_cost,cost_delta_percent,nvm_writes,nvm_writes_delta_percent,nvm_reads,migrations,avg_decision_time_ms,decision_count,result_dir,checkpoint
full,complete QMAP baseline,61.25000000000001,0.0,9589.0,0.0,172,0.0,603,647,2.6343139500243495,647,outputs/results/qmap_ablation/phasechange/full,outputs/checkpoints/qmap_ablation/phasechange/full/qmap_epoch_10.pth
no_pc,remove program-counter context from the access sequence,61.150000000000006,-0.10000000000000142,9607.0,0.18771509020752947,170,-1.1627906976744187,607,649,2.587060743974427,649,outputs/results/qmap_ablation/phasechange/no_pc,outputs/checkpoints/qmap_ablation/phasechange/no_pc/qmap_epoch_10.pth
no_rw,remove read/write type from the access sequence,61.199999999999996,-0.05000000000001137,9598.0,0.09385754510376473,171,-0.5813953488372093,605,648,2.9209131539517577,648,outputs/results/qmap_ablation/phasechange/no_rw,outputs/checkpoints/qmap_ablation/phasechange/no_rw/qmap_epoch_10.pth
no_qformer,replace Q-Former query aggregation with mean pooling,64.9,3.6499999999999986,8740.0,-8.853895088121806,149,-13.372093023255815,553,574,2.4056715269342637,574,outputs/results/qmap_ablation/phasechange/no_qformer,outputs/checkpoints/qmap_ablation/phasechange/no_qformer/qmap_epoch_10.pth
no_cost,disable write-sensitivity and migration-cost loss terms,61.199999999999996,-0.05000000000001137,9598.0,0.09385754510376473,171,-0.5813953488372093,605,648,2.961163856750239,648,outputs/results/qmap_ablation/phasechange/no_cost,outputs/checkpoints/qmap_ablation/phasechange/no_cost/qmap_epoch_10.pth
