workload,seed,qmap_cost,best_baseline_policy,best_baseline_cost,delta_percent,migrations,nvm_writes
streamcluster_pressure,3136859,269095.0,clock,301767.0,-10.826896247767317,5981,548
streamcluster_pressure,42,266439.0,clock,301767.0,-11.70704550199326,5715,593
streamcluster_pressure,2026,269501.0,clock,301767.0,-10.692355360261393,5995,590
blackscholes,3136859,105983.0,lfu,106952.0,-0.9060139127833047,525,32
blackscholes,42,109794.0,lfu,106952.0,2.6572668112798263,878,20
blackscholes,2026,105862.0,lfu,106952.0,-1.0191487770214676,514,32
canneal,3136859,150263.0,lru,126178.0,19.08811361727084,4545,42
canneal,42,144827.0,lru,126178.0,14.779914089619426,4041,60
canneal,2026,147081.0,lru,126178.0,16.566279383093725,4253,47
