workload,policy,hit_rate,hit_rate_percent,nvm_writes,weighted_access_cost,migrations,avg_decision_time_ms,decision_count,total_accesses,misses,nvm_reads,train_trace,valid_trace,test_trace,jsonl,checkpoint
parsec_dedup,lru,0.9556,95.56,14,7366.0,206,0.0004053694530598168,206,5000,222,208,dataset/processed/real_pilot_dedup_pressure/parsec_dedup_train.csv,dataset/processed/real_pilot_dedup_pressure/parsec_dedup_valid.csv,dataset/processed/real_pilot_dedup_pressure/parsec_dedup_test.csv,,
parsec_dedup,random,0.9482,94.82000000000001,24,7833.0,243,0.0011708641064510424,243,5000,259,235,dataset/processed/real_pilot_dedup_pressure/parsec_dedup_train.csv,dataset/processed/real_pilot_dedup_pressure/parsec_dedup_valid.csv,dataset/processed/real_pilot_dedup_pressure/parsec_dedup_test.csv,,
parsec_dedup,lfu,0.9512,95.12,20,7644.0,228,0.005900253247665732,228,5000,244,224,dataset/processed/real_pilot_dedup_pressure/parsec_dedup_train.csv,dataset/processed/real_pilot_dedup_pressure/parsec_dedup_valid.csv,dataset/processed/real_pilot_dedup_pressure/parsec_dedup_test.csv,,
parsec_dedup,clock,0.9568,95.67999999999999,15,7306.0,200,0.001581080723553896,200,5000,216,201,dataset/processed/real_pilot_dedup_pressure/parsec_dedup_train.csv,dataset/processed/real_pilot_dedup_pressure/parsec_dedup_valid.csv,dataset/processed/real_pilot_dedup_pressure/parsec_dedup_test.csv,,
parsec_dedup,qmap,0.941,94.1,7,8127.0,279,4.5744749837585035,279,5000,295,288,dataset/processed/real_pilot_dedup_pressure/parsec_dedup_train.csv,dataset/processed/real_pilot_dedup_pressure/parsec_dedup_valid.csv,dataset/processed/real_pilot_dedup_pressure/parsec_dedup_test.csv,dataset/jsonl/real_pilot_dedup_pressure_dram16/parsec_dedup_train.jsonl,outputs/checkpoints/real_pilot_dedup_pressure_dram16/parsec_dedup/qmap_epoch_10.pth
