workload,source_trace_id,source_test_path,source_test_sha256,split_relative_start,split_relative_end_exclusive,source_interval_start_inclusive,source_interval_end_exclusive,raw_trace_start,raw_trace_end_exclusive,window_records,scan_step,D,F_low,F_target,unique_pages,reactive_lru_misses,reactive_lru_replacement_decisions,pressure_eligible,ineligibility_reasons,selection_features_used,candidate_content_sha256,candidate_content_sha256_semantics,contract_sha256,addendum_sha256,code_sha256,config_sha256
canneal,canneal-20260731T072730Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/canneal/test.csv,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48,100000,600000,2500000,3000000,2500000,3000000,500000,10000,120,6,16,1195,1195,1075,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",8565af96a869e99aacddacc6531ee2aa7b67de2007cea395612783e612af1425,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
dedup_pressure,dedup_pressure-20260731T075134Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,0,500000,2400000,2900000,2400000,2900000,500000,10000,21,1,3,227,227,206,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",0efa648079edb8bc027ae0d342c12a5cdd5af80261d9990ae8391104e5872ff6,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
dedup_pressure,dedup_pressure-20260731T075134Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,10000,510000,2410000,2910000,2410000,2910000,500000,10000,21,1,3,227,227,206,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",ad8057bbaad88d196a60030f2ea42c09a438517ca1bad88080f37697839d8544,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
dedup_pressure,dedup_pressure-20260731T075134Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,20000,520000,2420000,2920000,2420000,2920000,500000,10000,21,1,3,227,227,206,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",b1d2b3f55c45cabdf4e5a7b3480ad25de53b6722ac5df5063edb8cfebc24e998,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
dedup_pressure,dedup_pressure-20260731T075134Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,30000,530000,2430000,2930000,2430000,2930000,500000,10000,21,1,3,227,227,206,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",c1bd51c33b046e1f4038acd08d7838f928544a527e312757426713cbb105fcd4,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
dedup_pressure,dedup_pressure-20260731T075134Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,40000,540000,2440000,2940000,2440000,2940000,500000,10000,21,1,3,227,227,206,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",ae10a5246814b240694c08b09c5a447792d80394a88fa881c4fd2ae2574e550d,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
dedup_pressure,dedup_pressure-20260731T075134Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,50000,550000,2450000,2950000,2450000,2950000,500000,10000,21,1,3,227,227,206,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",b39915286a77b90860f0d2d67f51c27b67b22df108932a983e9d4194d5d04e27,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
dedup_pressure,dedup_pressure-20260731T075134Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,60000,560000,2460000,2960000,2460000,2960000,500000,10000,21,1,3,227,227,206,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",c64c060cf86f65126958c8119323a51d0e54e0c8e93ea735dd3151642e182d9e,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
dedup_pressure,dedup_pressure-20260731T075134Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,70000,570000,2470000,2970000,2470000,2970000,500000,10000,21,1,3,227,227,206,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",593ae2072d02850c990418133d99790de5f48072e0fed9b4481646d5cc5990ab,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
dedup_pressure,dedup_pressure-20260731T075134Z,outputs/capd_proactive_stage7/stage7-local-suite-r1/splits/dedup_pressure/test.csv,7910bdc116b3ff0414feaca3dfeb553dd84b2ef1955c4d4807f92fc643cb2155,80000,580000,2480000,2980000,2480000,2980000,500000,10000,21,1,3,226,226,205,True,[],"{""eligibility_filter"":[""unique_pages"",""reactive_lru_replacement_decisions""],""eligible_window_ranking"":[""source_interval.start_inclusive"",""source_interval.end_exclusive"",""source_trace_id"",""candidate_content_sha256""]}",88518adb92d6a01f4cc8934ba68ee68fcf273013c5ceff748952a3185cb7dfd4,sha256_of_normalized_source_identity_and_interval,1c4582c20098425f9e8a155e832aad737e35160e8d254808a09706ca45394761,86b992bcae4ab3d89c47ac8dbc4878bfc813bdeecb162d668c8d106a47230f1b,cce4e21b4ede41b6f7d0897f60615e4774ec4cfef90dac39120470f58ee7a109,1e0680e8d5842b0f30ede9dcf3fd655e75ee3adce80f83703cbad5b43e20c326
