B,D,K,absolute_headroom,best_classic_policy,best_classic_weighted_access_cost,bridge_test_used_for_selection,case_id,complete_window_decisions,counterfactual_cost_distinguishable_decisions,counterfactual_cost_distinguishable_rate,counterfactual_cost_spread_max,counterfactual_cost_spread_mean,counterfactual_cost_spread_median,evaluation_split,eviction_decisions,future_write_label_distinguishable_rate,measurable_headroom,method_contract_changed,method_selection_performed,mixed_clean_dirty_candidate_rate,oracle_decisions,oracle_weighted_access_cost,proxy_label_distinguishable_rate,relative_headroom_percent,strict_label_preference_decisions,strict_label_preference_rate,test_trace_opened,test_used_for_selection,workload
16,16,8,32158.0,lru,322155.0,False,pressure_D16,10956,5737,0.52364001460387,132.0,8.407265425337714,11.0,valid,10965,0.23384446878422782,True,False,False,0.36299744432274555,8107,289997.0,0.9300839722526469,9.98215144883674,2680,0.3305785123966942,False,False,canneal
32,32,8,17163.0,clock,265486.0,False,pressure_D32,5989,1738,0.29019869761228917,55.0,4.539823008849558,0.0,valid,5997,0.07747537151444314,True,False,False,0.22424444815495073,4377,248323.0,0.45433294373017197,6.464747670310299,2294,0.5241032670779072,False,False,canneal
64,64,8,-352.0,lru,226392.0,False,pressure_D64,2377,82,0.0344972654606647,22.0,0.3887252839713925,0.0,valid,2382,0.0016827934371055953,False,False,False,0.004206983592763988,2414,226744.0,0.03786285233487589,-0.15548252588430686,53,0.021955260977630488,False,False,canneal
16,16,8,1415.0,lru,1040716.0,False,pressure_D16,3022,978,0.32362673726009267,44.0,3.985440105890139,0.0,valid,3022,0.07677035076108538,True,False,False,0.9768365320979484,2895,1039301.0,0.3309066843150232,0.1359640862636877,116,0.04006908462867012,False,False,dedup_pressure
32,32,8,151.0,lru,1037829.0,False,pressure_D32,2763,56,0.020267824828085413,22.0,0.23887079261672095,0.0,valid,2763,0.003981179876945349,True,False,False,0.06731813246471227,2752,1037678.0,0.021353601158161418,0.014549603065630273,7,0.002543604651162791,False,False,dedup_pressure
64,64,8,-64.0,lru,1036530.0,False,pressure_D64,2654,4,0.0015071590052750565,11.0,0.016578749058025623,0.0,valid,2654,0.0,False,False,False,0.014318010550113038,2662,1036594.0,0.0015071590052750565,-0.006174447435192421,0,0.0,False,False,dedup_pressure
16,16,8,3381.0,lru,244796.0,False,pressure_D16,4019,2411,0.5999004727544165,28.0,6.879323214730032,11.0,valid,4024,0.005971634735008708,True,False,False,0.06071161980592187,3721,241415.0,0.6949489922866384,1.3811500187911567,824,0.22144584789035204,False,False,streamcluster_pressure
32,32,8,1487.0,lru,236434.0,False,pressure_D32,3278,680,0.20744356314826112,28.0,2.3239780353874315,0.0,valid,3282,0.0,True,False,False,0.0,3173,234947.0,0.23856009762050032,0.6289281575407937,203,0.06397730854081311,False,False,streamcluster_pressure
64,64,8,338.0,lru,231445.0,False,pressure_D64,2839,119,0.041916167664670656,11.0,0.46107784431137727,0.0,valid,2843,0.0,True,False,False,0.0,2821,231107.0,0.04719971821063755,0.14603901574888203,42,0.01488833746898263,False,False,streamcluster_pressure
